IAB Keyword,One_Hop_Edges_Count,10 Examples
Minivan,678,"['Nissan_Forum', 'Haima_7X', 'Thanaleng_railway_station', 'Transport_in_Thailand', 'Car_door', 'GAZ_Sobol', 'Pickup_truck', 'Mercury_Villager__Second_generation__1', 'Lada_Nadezhda', 'Joylong_A-series']"
Deodorant and Antiperspirant,163,"[""'Odaban'"", 'Monolaurin', 'H.U.R.L.', 'Oblivion_(roller_coaster)', 'List_of_unusual_deaths', 'Hydroxymethylpentylcyclohexenecarboxaldehyde', 'Anti-persperant', 'Speed_Stick', 'Pepé_Le_Pew', 'Timeline_of_United_States_inventions_(1890–1945)']"
Outdoor Activities,2,"['Outdoor_recreation', 'Urination']"
Shaving,130,"['Sikhism', 'Red_Meat_(comic_strip)', 'Smokvica', 'Obelix_and_Co.', 'Stubble', 'Clean-shaven', 'John_Rambo', 'Shaved', 'Hidradenitis_suppurativa', 'The_Unexpurgated_Code']"
Rail Travel,21,"['Rail_transport', 'Indian_Railways_coaching_stock', 'Rail_transport_in_Great_Britain', 'CIV_(rail_travel)', 'Canadian_Museum_of_Rail_Travel', 'Southwind_Rail_Travel_Limited', 'Indian_Railways', 'History_of_rail_transport', 'Museum_of_Rail_Travel', 'Transit_pass']"
Financial Industry,18,"['Emergency_Economic_Stabilization_Act_of_2008', 'New_York_City', 'Automotive_industry_crisis_of_2008–2010', 'Offshore_financial_centre', 'Financial_services_in_the_United_Kingdom', 'Economy_of_Manchukuo', 'International_Financial_Services_Centre', 'Financial_services', 'Financial_Industry_Regulatory_Authority', 'Economy_of_China']"
Non-Alcoholic Beverages,6,"['Eudicots', 'Non-alcoholic_drink', 'Alcohol', 'City', 'Animal', 'Low-alcohol_beer']"
Cooking,950,"['Great_British_Menu', 'Basting_(cooking)', 'In_the_Kelvinator_Kitchen', 'List_of_sauces', 'MasterChef_Greece', 'James_Beard_Foundation_Award:_2000s', 'Human', 'MasterChef_India_–_Tamil_(season_1)', 'Cook_(profession)', 'Frontiersmen_Camping_Fellowship']"
Museums & Galleries,5861,"['Ashgabat_National_Museum_of_History', 'Erich_Kästner_Museum', 'EAA_Aviation_Museum', 'Paestum', ""Musée_d'art_contemporain_de_Montréal"", 'Natural_History_Museum_of_the_Lesvos_Petrified_Forest', 'Nautical_Museum_of_Crete', 'Baroda_Museum_&_Picture_Gallery', 'Museum_of_Post_and_Telecommunications', 'Manx_Aviation_and_Military_Museum']"
Sedan,1961,"['Chevrolet_210', 'BMW_5_Series_(G30)', 'Bugatti_EB_112', 'Honda_Civic_Type_R', 'Mazda6__First_generation_GG1__1', 'KB__1', 'Geely_Emgrand__Fourth_generation_SS11__1', 'Wheelbase', 'Toyota_concept_vehicles_(1980–1989)', 'Mercury_Montego']"
Primary Education,53,"['Primary_education_in_Wales', 'Croatia', 'Directorate_of_Primary_Education', 'Education_in_Singapore', 'Leeds', 'New_York_City', 'Downtown_Primary_School,_Elementary_Arts_Educational_Institution_and_Logopedical_Institute', 'Primary_school', 'Middle_school', 'OMICS_Publishing_Group']"
Technology Industry,75,"['Washington_Technology_Industry_Association', 'Taipei_City_University_of_Science_and_Technology', 'Department_of_Industry,_Technology_and_Regional_Development', 'Fortune_Institute_of_Technology', 'Committee_on_Transport,_Industry,_Communications,_Energy,_Science,_and_Technology', 'Sexism_in_the_technology_industry', 'Museum_of_Technology_and_Textile_Industry', 'Trinidad_and_Tobago', 'Zoomlion', 'Oneida_Institute']"
Space and Astronomy,4986,"['Lewis_Boss', 'Aomawa_Shields', 'Friedrich_Georg_Wilhelm_von_Struve', 'Johann_Wilhelm_Meigen', 'Antonio_Manetti', 'Medieval_weights_and_measures', 'Stability_of_the_Solar_System', 'University_of_the_West_Indies', ""Brian_O'Leary"", 'Multiverse']"
Land and Farms,3814,"['A_Land_of_Pure_Delight', 'Diepflingen', 'John_Forsythe', 'EarthGang', 'Renewable_energy', 'Trusts_of_Land_and_Appointment_of_Trustees_Act_1996', 'Anthems_in_Animal_Farm', 'Kadoorie_Farm_and_Botanic_Garden', 'Spangler–Benner_Farm', 'Farm_to_Market_Road_78']"
World Cuisines,18,"['Fast_food', 'Central_European_Time', ""Bocuse_d'Or"", 'South_Africa', 'Russia', 'Germanic_peoples', 'Iran', 'India', 'New_York_City', 'World_War_II']"
Remodeling & Construction,2804,"['Timiș_County', 'Yuriy_Molchanov', 'Čakovec', 'BRVM_Composite', 'International_University_of_Japan', 'The_Korek_Mountain_Resort_&_Spa', 'Larsen_&_Toubro', 'List_of_National_Historic_Landmarks_in_Kansas', 'Asahi_Beer_Hall', 'Dust_mask']"
Apparel Industry,5,"['Microsoft_Windows', 'American_Apparel_&_Footwear_Association', 'Los_Angeles', 'Clothing_industry', 'Apparel_industry_of_Sri_Lanka']"
Board Games and Puzzles,605,"['Word_polygon', 'Starship_Troopers_(board_wargame)', 'Safecracker:_The_Ultimate_Puzzle_Adventure', 'Invasion:_Earth_(board_game)', 'Ambush!', 'A_Game_of_Thrones_(board_game)', 'The_Puzzle_of_the_Red_Orchid', 'Escape_from_Atlantis', 'Puzzle_de_Harvest_Moon', 'Camelot_(board_game)']"
Women's Shoes and Footwear,649,"['Costume_National', 'Tapout_(clothing_brand)', ""1994_European_Athletics_Championships_–_Women's_shot_put"", ""Athletics_at_the_2008_Summer_Paralympics_–_Women's_shot_put_F35–36"", 'Converse_(lifestyle_wear)', 'Maison_Kitsuné', 'Raebareli_district', 'De_Bijenkorf', 'Columbia_Sportswear', 'Chap_boot']"
Logistics and Transportation Industry,1755,"['Combat_service_support', 'Design_manufacture_service', 'Future_Group', 'Royal_B._Lord', 'Rumo_Logística', 'Wine_Australia', 'Transport_and_Logistics_Centre', 'KeepTruckin', 'Bolloré_Logistics', 'Correos_de_México']"
Birthday,278,"['Living_Church_of_God', 'Egging', 'SchleFaZ', 'List_of_birthday_songs', 'Order_of_Leopold_II', 'Soul', 'Birthday', 'Iqbal_Day', 'B_day', 'Name_days_in_Slovakia']"
Food Industry,39,"['Canning', 'Frozen_food', 'Dietary_supplement', 'Ministry_of_Agriculture,_Food_Industry_and_Melioration_(Kyrgyzstan)', 'Food_industry_in_Bangladesh', 'Food_Industry_Centre', 'Impact_of_the_2019–20_coronavirus_pandemic_on_the_food_industry', 'Ministry_of_Agriculture,_Regional_Development_and_Environment_(Moldova)', 'Animal_feed', 'Ministry_of_Light_Industry']"
Daycare and Pre-School,440,"['Arizona_State_University', 'University_of_Kassel', 'Faculdade_de_Medicina_de_Ribeirão_Preto', 'Barts_and_The_London_School_of_Medicine_and_Dentistry', 'Bellarmine_Preparatory_School', 'Nanjing', 'Baylor_University', 'Surat', 'San_Francisco_Unified_School_District', 'Landry-Walker_College_and_Career_Preparatory_High_School']"
Men's Clothing,7,"['CFB_Halifax_Cashspiel', 'Suit', 'Undergarment', ""Men's Casual Wear"", 'Clothing', 'Thong', ""Men's Formal Wear""]"
SUV,1082,"['Kia_Stonic', 'Lynk_&_Co_01', 'Chibombo_bus_crash', 'Emil_Kyulev', 'Truck_classification', 'List_of_Mitsubishi_Motors_vehicles', 'Kia_Stonic__YB_CUV__1', 'Volkswagen_Tiguan__Volkswagen_Tiguan__1', 'Land_Rover_Freelander', 'Chevrolet_S-10_Blazer__First_generation__1']"
Casinos & Gambling,2059,"['Dixie_Mafia', 'Rook_(card_game)', 'Sohu', 'Dedicated_deck_card_game', 'Minor_(law)', 'History_of_gambling_in_the_United_Kingdom', 'Christopher_Hemmeter', 'Bo_McMillin', 'Lee_Iacocca', 'History_of_vice_in_Texas']"
Retail Property,7,"['Novion_Property_Group', 'Christian–Patterson_Rental_Property', 'InvenTrust_Properties', 'Sharing_economy', 'Rental_Directive', 'OMICS_Publishing_Group', 'Renting']"
Retail Industry,16,"['Floral_industry', 'Retail_Motor_Industry_Federation', 'Microsoft_Windows', 'Eisner_Award', 'Fashion', 'Retail', 'Business_cluster', 'Shipbuilding', 'Fuel_Retailers_Association_v_Motor_Industry_Bargaining_Council', 'Los_Angeles']"
Healthcare Industry,194,"['Radiometer_(company)', 'Mike_Long_(American_businessman)', 'Thangjam_Dhabali_Singh', 'Hall_Render', 'Affordable_Care_Act', 'CVS_Health', 'Health_care_prices_in_the_United_States', 'Sun_Capital_Partners', 'Health_care_efficiency', 'Pay_for_performance_(healthcare)']"
Games and Puzzles,6606,"['Agent_A:_A_Puzzle_in_Disguise', 'The_Sims_2', 'Cornish_game_hen', 'WarCry_(game)', 'Exergaming', 'List_of_big-game_hunters', 'Dino_Crisis', 'Jackal_(video_game)', 'The_Great_Game_of_Politics', 'Sonic_Chronicles:_The_Dark_Brotherhood']"
Desserts and Baking,460,"['Worst_Cooks_in_America', 'William_Wongso', 'Unifine_mill', 'List_of_American_breads', 'How_to_Cook_That', 'Max_Felchlin', ""Nun's_puffs"", 'Compact_Disc_manufacturing', 'Scotch_egg', 'Red_Star_Yeast']"
Apartments,1781,"['Sheffield_Inn', 'Carteret_County_Home', 'Ockham,_Surrey', 'Fraser_Mansion', 'Årvoll', 'Sharon_Gaetz', 'Taman_Tun_Sardon', 'Blue_Quill,_Edmonton', 'Palisades_Amusement_Park', 'Spruce_Avenue,_Edmonton']"
Wedding,921,"['CHIJMES', 'Comfit', 'Jewish_views_on_contraception', 'Honor_attendant', 'Lanes_and_arcades_of_Melbourne', 'Birthday_cake', 'Mdundiko', 'Achayans', 'Engagement', 'Ordination_of_women']"
Large Animals,15,"['Arthropod', 'Animal_husbandry', 'List_of_E._Schweizerbart_serials', 'Michigan', 'Large_Animal_Games', 'Chordate', 'Beetle', 'Largest_organisms', 'Ground_beetle', 'Insect']"
Desktops,169,"['MacOS', 'Copernic', 'HP_9800_series', 'KDE_Software_Compilation', 'Windows_Desktop_Update', 'Desktop_outsourcing', 'Apple_Desktop_Bus', 'Digital_pet', 'Ambient_(desktop_environment)', 'IRIX_Interactive_Desktop']"
Laptops,1111,"['2.4_GHz_radio_use', 'Graphite', 'Computer_repair_technician', 'Economy_of_Argentina', 'Notebook_Computer', 'A_Guy_Called_Gerald', 'Beaumont_Street_Studios', 'Zenith_SupersPort', 'Apple_Certified_Desktop_Technician', 'Remote_administration']"
Home Appliances,9,"['Cooking', 'Ontario', 'BSH_Hausgeräte', 'Home_appliance', 'Association_of_Home_Appliance_Manufacturers', 'Home_network', 'Soda_machine_(home_appliance)', 'New_York_City', 'Lewis_(lifting_appliance)']"
Hotels and Motels,5472,"['Augustine_Beach_Hotel', 'Malmaison_Hotel,_Reading', 'Fire_in_the_Thatch', 'A_Night_in_Heaven', 'Prostitution_in_India', 'Silver_Legacy_Reno', 'Seabank_Hotel', 'The_Westin_Singapore', 'Super_8_(hotel)', 'Villa_Elena_Hotel']"
Awards Shows,56,"['List_of_awards_and_nominations_received_by_The_Mary_Tyler_Moore_Show', 'The_Lone_Gunmen_(TV_series)', 'Canadian_Country_Music_Association', 'Girls_(TV_series)', 'Judy_Ann_Santos', 'List_of_programs_broadcast_by_BET', 'GLAAD_Media_Award', 'Daytime_Emmy_Award_for_Outstanding_Game_Show', 'Bailey_Jay', 'Sean_Penn']"
Parenting,42,"['Why_Have_Kids%3F', 'Child_discipline', 'Tiger_parenting', 'Attachment_parenting', 'Time-out_(parenting)', 'Painting', 'LGBT_parenting', 'Endocrinology_of_parenting', ""Fathers'_rights_movement"", 'Alfie_Kohn']"
Auto Body Styles,22,"['England_national_football_team', 'Station Wagon', 'Station_wagon', 'Italianate_architecture', 'Arthropod', 'Alternative_rock', 'SUV', 'Sedan', 'Malacostraca', 'Minivan']"
Houses,9166,"['The_House_Across_the_Lake', ""Florida's_1st_congressional_district"", 'Meadow_Lake,_Saskatchewan', 'Mason–Drennen_House', 'Beach_House_(disambiguation)', ""California's_18th_congressional_district"", 'Harcourt_House,_London', 'Holt_House', 'Thomas_Davis_House', '2014_United_States_House_of_Representatives_election_in_Vermont']"
Beach Travel,8,"['Rail_transport_in_Great_Britain', 'Virginia', 'Thank_Your_Lucky_Stars_(Beach_House_album)', 'Beechcraft_Travel_Air', 'List_of_Walt_Disney_Animation_Studios_short_films', 'Holland_(album)', 'This_Is_a_Long_Drive_for_Someone_with_Nothing_to_Think_About', 'Science_fiction']"
Auto Repair,10,"['Aircraft_maintenance', 'Automobile_repair_shop', 'California_Bureau_of_Automotive_Repair', 'Comparison_of_Auto_Repair_Shop_Management_Systems', 'List_of_auto_dealership_and_repair_shop_buildings', 'Vehicle_insurance', 'Auto_mechanic', 'MAACO', 'Automatic_bug_fixing', 'Anterior_cruciate_ligament_reconstruction']"
Polar Travel,3,"['Science_fiction', 'List_of_Russian_explorers', 'Beetle']"
Women's Clothing,13,"['Clothing', 'Inca_society', 'Thong', 'Nudity', ""Trousers_as_women's_clothing"", ""Women's_clothing_in_China"", 'Gaelic_Ireland', 'Women_in_Iran', 'Banana_Republic', 'Suit']"
South America Travel,43,"['Union_(American_Civil_War)', 'Italy', 'Americans', 'Japan', 'Indiana', 'England', 'Bolivia', 'Pakistan', 'History_of_slavery', 'Venezuela']"
Office Property,37,"['Lost_Property_Office_(2017_film)', 'Intellectual_Property_Office', 'Intellectual_Property_Office_(Philippines)', 'Netherlands_Patent_Office', 'National_Institute_of_Industrial_Property_(France)', 'Benelux_Office_for_Intellectual_Property', 'Intellectual_Property_Office_of_New_Zealand', 'State_Intellectual_Property_Office_(Croatia)', 'Property_crime', 'Township_(United_States)']"
Comedy Events,2,"['Comedy', 'Television_special']"
Reptiles,2608,"['National_Zoological_Gardens_of_Sri_Lanka', 'Pieris_brassicae', 'Eomurruna', 'Infrared_lamp', 'Fauna_of_Toronto', 'Sex_organs_of_reptiles', 'Steganoposaurus', 'El_Arenal,_Jalisco', 'Jeremiah_8', 'Mammal']"
Pickup Trucks,19,"['Ford_F-Series', 'Ram_Pickup', 'Pickup_truck', 'Aerial_work_platform', 'Tesla_Cybertruck', 'Cessna_188', 'Luxury_vehicle', '2009_Pickup_Truck_Racing', 'Tough_as_a_Pickup_Truck', 'Toyota_Hilux']"
Alcoholic Beverages,65,"['Massachusetts_Alcoholic_Beverage_Control_Commission', 'Babine_(alcoholic_drink)', 'Alcohol_and_cancer', 'Spritz_Veneziano', 'Beer', 'Alcoholic_beverage_industry_in_Europe', 'Alcoholic_drinks_in_Sweden', 'History_of_alcoholic_drinks', 'Cocktail', 'Non-alcoholic_drink']"
Card Games,449,"['Battle_of_the_Sexes_(radio_contest)', 'Pirates_of_the_Caribbean_Trading_Card_Game', 'Machiavelli_(Italian_card_game)', 'Harry_Potter_Trading_Card_Game', 'Towie_(card_game)', 'Pokémon_Trading_Card_Game', 'Glossary_of_card_game_terms', 'The_Comeback_(American_football)', 'List_of_Stargate_games', 'Oh_Hell']"
Auto Rentals,9,"['Automatic_ring_back', 'ATL_SkyTrain', 'Car_rental', 'OMICS_Publishing_Group', 'UNOH_175', 'NorthernTool.com_250', 'Dollar_Thrifty_Automotive_Group', 'Sixt', 'Photo_booth']"
Cruises,278,"['Grand-class_cruise_ship', 'Golden_Princess_(2000)', 'List_of_Ghost_in_the_Shell:_Stand_Alone_Complex_episodes', 'Breakaway-class_cruise_ship', 'Marina_Bay_Cruise_Centre_Singapore', 'Cruise_Terminal_light_rail_station', 'Jungle_Cruise_(film)', 'List_of_awards_and_nominations_received_by_Tom_Cruise', 'Flynn_Cruiseport_Boston', 'Thomas_Cruise_(footballer)']"
Cinemas and Events,1559,"['Library_event_planning', 'Justice_Sunday', 'The_Cinema_Guild', 'Event_television', 'Florence', 'Glen_Cinema_disaster', 'All-Ukrainian_Photo_Cinema_Administration', 'Tidal_disruption_event', ""2016_Wilde_Lexus_Women's_USTA_Pro_Circuit_Event_–_Doubles"", 'Cinema_Petit']"
Auto Shows,53,"['5-Hour_Energy_250', 'Turin_Auto_Show', 'Auto_mechanic', 'Geneva_Motor_Show', 'Nashville_International_Auto_and_Truck_Show', 'Lil_Uzi_Vert_vs._the_World_2', 'Auto_Guangzhou', 'Car_dealership', 'I_Faked_My_Own_Death', 'Washington_Auto_Show']"
Individual Brands,0,[]
Women's Formal Wear,153,"['Shadbelly', 'Kanzu', 'Black_tie', 'Alan_B._Gaylor', 'Lapel', 'Top_hat', 'Showmanship_(performing)', 'Black_lounge_suit', 'Black_Widow_(Natasha_Romanova)', 'C.banner']"
Women's Handbags and Wallets,192,"['Dollar_voting', ""2000–01_Nemzeti_Bajnokság_I_(women's_handball)"", 'Bitcoin', 'Drop_swindle', 'GrabYourWallet', ""Handball_at_the_2000_Summer_Olympics_–_Women's_tournament"", 'Easypaisa', ""2011–12_Liga_Națională_(women's_handball)"", 'Cody_Wilson', ""MKS_Zagłębie_Lubin_(women's_handball)""]"
Men's Casual Wear,102,"['Abercrombie_&_Fitch', 'Safety_Zone_(song)', 'Buff_(colour)', '1980s_in_fashion', 'Sneakers', 'Casual_attire', '1960s_in_fashion', 'Glossary_of_sewing_terms', 'U-Right', 'Tomas_Maier']"
Women's Jewelry and Watches,602,"['Charles_Gretton', 'Trench_watch', 'Borro_Private_Finance', 'Annual_calendar', 'Mechanical_watch', ""List_of_Who's_the_Boss%3F_episodes"", 'Solar-powered_watch', 'Geneva_drive', 'Piezoelectric_speaker', 'Coventry_UK_City_of_Culture_2021']"
Australia and Oceania Travel,3919,"['Immigration_to_Norway', 'Imma', 'Eber_Bunker', 'List_of_League_of_Legends_leagues_and_tournaments', 'Cane_toad', 'Australo-Melanesian', '2015–16_FC_Lorient_season', 'Christmas_imperial_pigeon', 'South_Island_Organ_Company', 'List_of_countries_by_GDP_(PPP)']"
Men's Formal Wear,153,"['1850s_in_Western_fashion', 'Young_Artist_Award', 'Wrapper_(clothing)', 'Wedding', 'Sovereign_Military_Order_of_Malta', 'Watch', 'Dressy', 'Focale', 'Back_closure', 'Fluxedo']"
