,Recommended Mapping Category,Relevancy Label,refSource,Unnamed: 4,category,label,targetType,adword,mappingModality,version,targetLabel,score,version.1
1724,,N,imagenet,,accessory,"['lipstick', 'lip rouge']",inclusion,Style & Fashion|Beauty|Nail Care,text+video,2,Style & Fashion||Nail Care,0.7646659709999999,2
1725,,N,imagenet,,accessory,"['lipstick', 'lip rouge']",inclusion,Style & Fashion|Beauty|Perfume and Fragrance,text+video,2,Style & Fashion||Perfume and Fragrance,0.7069015609999999,2
1726,,H,topic_slice,,,['Literature'],inclusion,Books and Literature,text+video,2,Books and Literature,0.876813475,2
1727,,H,topic_slice,,,['Literature'],inclusion,Education|Primary Education,text+video,2,Education|Primary Education,0.712312548,2
1728,,H,topic_slice,,,['Literature'],inclusion,Science,text+video,2,Science,0.7659120770000001,2
1729,,H,topic_slice,,,['Literature'],inclusion,Education,text+video,2,Education,0.7101011690000001,2
1730,,L,topic_slice,,,['Literature'],inclusion,Religion & Spirituality,text+video,2,Religion & Spirituality,0.69427895,2
1731,,H,imagenet,,bird,"['little blue heron', 'Egretta caerulea']",inclusion,Pets|Birds,text+video,2,Pets|Birds,0.804940633,2
1732,,H,imagenet,,clothing,['Loafer'],inclusion,Style & Fashion||Women's Shoes and Footwear,text+video,2,Style & Fashion||Women's Shoes and Footwear,0.814953138,"1,2"
1733,,H,imagenet,,clothing,['Loafer'],inclusion,Style & Fashion|Women's Fashion|Women's Clothing,text+video,2,Style & Fashion||Women's Clothing,0.7638923409999999,2
1734,,L,imagenet,,clothing,['Loafer'],inclusion,Style & Fashion|Women's Fashion|Women's Clothing|Women's Formal Wear,text+video,2,Style & Fashion|||Women's Formal Wear,0.729030673,2
1735,,L,imagenet,,clothing,['Loafer'],inclusion,Style & Fashion|Men's Fashion|Men's Clothing|Men's Formal Wear,text+video,2,Style & Fashion|||Men's Formal Wear,0.732276113,2
1736,,H,imagenet,,bird,['lorikeet'],inclusion,Pets|Birds,text+video,2,Pets|Birds,0.810693129,2
1737,,N,imagenet,,other,['lotion'],inclusion,Style & Fashion|Beauty|Makeup and Accessories,text+video,2,Style & Fashion||Makeup and Accessories,0.754059933,2
1738,,N,imagenet,,other,['lotion'],inclusion,Style & Fashion|Beauty|Nail Care,text+video,2,Style & Fashion||Nail Care,0.75860474,2
1739,,N,imagenet,,other,['lotion'],inclusion,Style & Fashion|Personal Care|Deodorant and Antiperspirant,text+video,2,Style & Fashion||Deodorant and Antiperspirant,0.8648530179999999,2
1740,,H,imagenet,,electronics,"['loudspeaker', 'speaker', 'speaker unit', 'loudspeaker system', 'speaker system']",inclusion,Music and Audio,text+video,2,Music and Audio,0.7500630690000001,2
1741,,H,imagenet,,electronics,"['loudspeaker', 'speaker', 'speaker unit', 'loudspeaker system', 'speaker system']",inclusion,Technology & Computing|Consumer Electronics,text+video,2,Technology & Computing|Consumer Electronics,0.744803323,2
1742,,H,slice_topic,,12,"['Love', 'Relationship']",inclusion,Family and Relationships|Dating,text+video,1,Family and Relationships|Dating,0.664847693,1
1743,,H,slice_topic,,12,"['Love', 'Relationship']",inclusion,Family and Relationships|Parenting,text+video,1,Family and Relationships|Parenting,0.6275242360000001,1
1744,,H,slice_topic,,12,"['Love', 'Relationship']",inclusion,Family and Relationships|Single Life,text+video,1,Family and Relationships|Single Life,0.659750786,1
1745,,H,topic_slice,,,"['Love', 'Relationship']",inclusion,Events and Attractions|Personal Celebrations & Life Events,text+video,2,Events and Attractions|Personal Celebrations & Life Events,0.756932878,2
1746,,H,topic_slice,,,"['Love', 'Relationship']",inclusion,Family and Relationships,text+video,2,Family and Relationships,0.8437091459999999,2
1747,,H,topic_slice,,,"['Love', 'Relationship']",inclusion,Family and Relationships|Single Life,text+video,2,Family and Relationships|Single Life,0.7897204609999999,2
1748,,H,topic_slice,,,"['Love', 'Relationship']",inclusion,Healthy Living,text+video,2,Healthy Living,0.731072065,2
1749,,L,topic_slice,,,"['Love', 'Relationship']",inclusion,Religion & Spirituality,text+video,2,Religion & Spirituality,0.710903232,2
1750,,N,topic_slice,,,"['Love', 'Relationship']",inclusion,Style & Fashion|Women's Fashion|Women's Clothing|Women's Formal Wear,text+video,2,Style & Fashion|||Women's Formal Wear,0.718671947,2
1751,,N,topic_slice,,,"['Love', 'Relationship']",inclusion,Style & Fashion|Men's Fashion|Men's Clothing|Men's Formal Wear,text+video,2,Style & Fashion|||Men's Formal Wear,0.713290725,2
1752,,H,topic_slice,,,"['Love', 'Relationship']",inclusion,Family and Relationships|Dating,text+video,2,Family and Relationships|Dating,0.681495126,2
1753,,L,topic_slice,,,"['Love', 'Relationship']",inclusion,Hobbies & Interests,text+video,2,Hobbies & Interests,0.694381487,2
1754,,H,topic_slice,,,"['Love', 'Relationship']",inclusion,Family and Relationships|Parenting,text+video,2,Family and Relationships|Parenting,0.668160326,2
1755,,N,imagenet,,butterfly,"['lycaenid', 'lycaenid butterfly']",inclusion,Pets|Birds,text+video,2,Pets|Birds,0.712537328,2
1756,,H,imagenet,,wild cat,"['lynx', 'catamount']",inclusion,Pets|Cats,text+video,2,Pets|Cats,0.775467213,2
1757,,N,imagenet,,mongoose,"['Madagascar cat', 'ring-tailed lemur', 'Lemur catta']",inclusion,Pets|Cats,text+video,2,Pets|Cats,0.7199430309999999,2
1758,,H,imagenet,,bird,['magpie'],inclusion,Pets|Birds,text+video,2,Pets|Birds,0.843591636,2
1759,,N,imagenet,,furniture,"['mailbox', 'letter box']",inclusion,Food & Drink|Dining Out,text+video,2,Food & Drink|Dining Out,0.720947254,2
1760,,L,imagenet,,furniture,"['mailbox', 'letter box']",inclusion,Home & Garden,text+video,2,Home & Garden,0.7151741090000001,2
1761,,H,imagenet,,furniture,"['mailbox', 'letter box']",inclusion,Real Estate|Office Property,text+video,2,Real Estate|Office Property,0.738089792,2
1762,,N,imagenet,,clothing,"['maillot', 'tank suit']",inclusion,Style & Fashion||Men's Clothing,text+video,2,Style & Fashion||Men's Clothing,0.77033165,"1,2"
1763,,N,imagenet,,clothing,"['maillot', 'tank suit']",inclusion,Style & Fashion|Beauty|Makeup and Accessories,text+video,2,Style & Fashion||Makeup and Accessories,0.713030237,2
1764,,H,imagenet,,clothing,"['maillot', 'tank suit']",inclusion,Style & Fashion|Women's Fashion|Women's Clothing,text+video,2,Style & Fashion||Women's Clothing,0.764464013,2
1765,,N,imagenet,,clothing,"['maillot', 'tank suit']",inclusion,Style & Fashion|Women's Fashion|Women's Clothing|Women's Formal Wear,text+video,2,Style & Fashion|||Women's Formal Wear,0.7456262490000001,2
1766,,N,imagenet,,clothing,"['maillot', 'tank suit']",inclusion,Style & Fashion|Women's Fashion|Women's Shoes and Footwear,text+video,2,Style & Fashion||Women's Shoes and Footwear,0.7328226720000001,2
1767,,N,imagenet,,clothing,"['maillot', 'tank suit']",inclusion,Style & Fashion|Men's Fashion|Men's Clothing|Men's Casual Wear,text+video,2,Style & Fashion|||Men's Casual Wear,0.761311181,2
1768,,N,imagenet,,clothing,"['maillot', 'tank suit']",inclusion,Style & Fashion|Men's Fashion|Men's Clothing|Men's Formal Wear,text+video,2,Style & Fashion|||Men's Formal Wear,0.749189743,2
1769,,H,imagenet,,clothing,['maillot'],inclusion,Style & Fashion|Women's Fashion|Women's Clothing,text+video,2,Style & Fashion||Women's Clothing,0.731161761,2
1770,,N,imagenet,,clothing,['maillot'],inclusion,Style & Fashion|Men's Fashion|Men's Clothing,text+video,2,Style & Fashion||Men's Clothing,0.7270780990000001,2
1771,,H,imagenet,,dog,"['malamute', 'malemute', 'Alaskan malamute']",inclusion,Pets|Dogs,text+video,2,Pets|Dogs,0.7490479729999999,2
1772,,H,imagenet,,dog,['malinois'],inclusion,Pets,text+video,2,Pets,0.713536232,2
1773,,N,imagenet,,dog,['malinois'],inclusion,Pets|Cats,text+video,2,Pets|Cats,0.731796928,2
1774,,H,imagenet,,dog,['malinois'],inclusion,Pets|Dogs,text+video,2,Pets|Dogs,0.823896709,2
1775,,H,imagenet,,dog,"['Maltese dog', 'Maltese terrier', 'Maltese']",inclusion,Pets,text+video,2,Pets,0.7484222340000001,2
1776,,N,imagenet,,dog,"['Maltese dog', 'Maltese terrier', 'Maltese']",inclusion,Pets|Cats,text+video,2,Pets|Cats,0.768865513,2
1777,,H,imagenet,,dog,"['Maltese dog', 'Maltese terrier', 'Maltese']",inclusion,Pets|Dogs,text+video,2,Pets|Dogs,0.831199606,2
1778,,N,imagenet,,outdoor scene,['manhole cover'],inclusion,Events and Attractions|Outdoor Activities,text+video,2,Events and Attractions|Outdoor Activities,0.766161313,2
1779,,N,imagenet,,outdoor scene,['manhole cover'],inclusion,Food & Drink|Dining Out,text+video,2,Food & Drink|Dining Out,0.72878575,2
1780,,H,imagenet,,instrument,"['marimba', 'xylophone']",inclusion,Hobbies & Interests|Musical Instruments,text+video,2,Hobbies & Interests|Musical Instruments,0.7998789059999999,2
1781,,H,topic_slice,,,['Marine'],inclusion,Events and Attractions|Zoos & Aquariums,text+video,2,Events and Attractions|Zoos & Aquariums,0.644235476,2
1782,,H,imagenet,,food,['mashed potato'],inclusion,Business and Finance|Industries|Food Industry,text+video,2,Business and Finance||Food Industry,0.755536723,2
1783,,H,imagenet,,food,['mashed potato'],inclusion,Food & Drink,text+video,2,Food & Drink,0.781143767,2
1784,,H,imagenet,,food,['mashed potato'],inclusion,Food & Drink|Cooking,text+video,2,Food & Drink|Cooking,0.797162169,2
1785,,N,imagenet,,food,['mashed potato'],inclusion,Food & Drink|Desserts and Baking,text+video,2,Food & Drink|Desserts and Baking,0.820781929,2
1786,,N,imagenet,,clothing,['mask'],inclusion,Automotive|Auto Body Styles,text+video,2,Automotive|Auto Body Styles,0.711890701,2
1787,,H,imagenet,,clothing,['mask'],inclusion,Business and Finance|Industries|Apparel Industry,text+video,2,Business and Finance||Apparel Industry,0.731801652,2
1788,,N,imagenet,,clothing,['mask'],inclusion,Style & Fashion|Women's Fashion|Women's Accessories|Women's Handbags and Wallets,text+video,2,Style & Fashion|||Women's Handbags and Wallets,0.7241758009999999,2
1789,,N,imagenet,,clothing,['mask'],inclusion,Style & Fashion|Women's Fashion|Women's Accessories|Women's Jewelry and Watches,text+video,2,Style & Fashion|||Women's Jewelry and Watches,0.744254505,2
1790,,H,imagenet,,clothing,['mask'],inclusion,Style & Fashion|Women's Fashion|Women's Clothing,text+video,2,Style & Fashion||Women's Clothing,0.805906635,2
1791,,L,imagenet,,clothing,['mask'],inclusion,Style & Fashion|Women's Fashion|Women's Clothing|Women's Formal Wear,text+video,2,Style & Fashion|||Women's Formal Wear,0.7596637970000001,2
1792,,N,imagenet,,clothing,['mask'],inclusion,Style & Fashion|Women's Fashion|Women's Shoes and Footwear,text+video,2,Style & Fashion||Women's Shoes and Footwear,0.765287125,2
1793,,H,imagenet,,clothing,['mask'],inclusion,Style & Fashion|Men's Fashion|Men's Clothing,text+video,2,Style & Fashion||Men's Clothing,0.809783685,2
1794,,L,imagenet,,clothing,['mask'],inclusion,Style & Fashion|Men's Fashion|Men's Clothing|Men's Casual Wear,text+video,2,Style & Fashion|||Men's Casual Wear,0.763629861,2
1795,,L,imagenet,,clothing,['mask'],inclusion,Style & Fashion|Men's Fashion|Men's Clothing|Men's Formal Wear,text+video,2,Style & Fashion|||Men's Formal Wear,0.761279715,2
1796,,H,imagenet,,outdoor scene,['maypole'],inclusion,Events and Attractions|Outdoor Activities,text+video,2,Events and Attractions|Outdoor Activities,0.7957938640000001,2
1797,,H,imagenet,,outdoor scene,"['maze', 'labyrinth']",inclusion,Events and Attractions|Outdoor Activities,text+video,2,Events and Attractions|Outdoor Activities,0.763356919,2
1798,,N,imagenet,,outdoor scene,"['maze', 'labyrinth']",inclusion,Food & Drink|Dining Out,text+video,2,Food & Drink|Dining Out,0.7145937659999999,2
1799,,H,imagenet,,cooking,['measuring cup'],inclusion,Food & Drink,text+video,2,Food & Drink,0.7282241629999999,2
1800,,H,imagenet,,cooking,['measuring cup'],inclusion,Food & Drink|Cooking,text+video,2,Food & Drink|Cooking,0.840277108,2
1801,,H,imagenet,,cooking,['measuring cup'],inclusion,Food & Drink|Desserts and Baking,text+video,2,Food & Drink|Desserts and Baking,0.812902377,2
1802,,H,imagenet,,food,"['meat loaf', 'meatloaf']",inclusion,Business and Finance|Industries|Food Industry,text+video,2,Business and Finance||Food Industry,0.750858641,2
1803,,H,imagenet,,food,"['meat loaf', 'meatloaf']",inclusion,Food & Drink,text+video,2,Food & Drink,0.7596203009999999,2
1804,,N,imagenet,,food,"['meat loaf', 'meatloaf']",inclusion,Food & Drink|Barbecues and Grilling,text+video,2,Food & Drink|Barbecues and Grilling,0.719967482,2
1805,,H,imagenet,,food,"['meat loaf', 'meatloaf']",inclusion,Food & Drink|Cooking,text+video,2,Food & Drink|Cooking,0.8097347420000001,2
1806,,L,imagenet,,food,"['meat loaf', 'meatloaf']",inclusion,Food & Drink|Desserts and Baking,text+video,2,Food & Drink|Desserts and Baking,0.8172973109999999,2
1807,,H,imagenet,,container,"['medicine chest', 'medicine cabinet']",inclusion,Medical Health,text+video,2,Medical Health,0.773211047,"1,2"
1808,,N,imagenet,,container,"['medicine chest', 'medicine cabinet']",inclusion,Style & Fashion|Beauty|Nail Care,text+video,2,Style & Fashion||Nail Care,0.717305768,2
1809,,L,imagenet,,container,"['medicine chest', 'medicine cabinet']",inclusion,Style & Fashion|Personal Care|Oral care,text+video,2,Style & Fashion||Oral care,0.7282707559999999,2
1810,,H,imagenet,,outdoor scene,"['megalith', 'megalithic structure']",inclusion,Events and Attractions|Outdoor Activities,text+video,2,Events and Attractions|Outdoor Activities,0.7127958870000001,2
1811,,H,imagenet,,paper,['menu'],inclusion,Food & Drink|Dining Out,text+video,2,Food & Drink|Dining Out,0.714086074,2
1812,,H,imagenet,,dog,['Mexican hairless'],inclusion,Pets,text+video,2,Pets,0.713743875,2
1813,,N,imagenet,,dog,['Mexican hairless'],inclusion,Pets|Cats,text+video,2,Pets|Cats,0.763031364,2
1814,,H,imagenet,,dog,['Mexican hairless'],inclusion,Pets|Dogs,text+video,2,Pets|Dogs,0.8117515670000001,2
1815,,H,imagenet,,dog,['Mexican hairless'],inclusion,Pets|Large Animals,text+video,2,Pets|Large Animals,0.72030438,2
1816,,H,imagenet,,electronics,"['microphone', 'mike']",inclusion,Music and Audio,text+video,2,Music and Audio,0.776573265,2
1817,,H,imagenet,,electronics,"['microphone', 'mike']",inclusion,Technology & Computing|Consumer Electronics,text+video,2,Technology & Computing|Consumer Electronics,0.767045135,2
1818,,L,imagenet,,electronics,"['microphone', 'mike']",inclusion,Technology & Computing|Consumer Electronics|Cameras and Camcorders,text+video,2,Technology & Computing||Cameras and Camcorders,0.708490945,2
1819,,H,imagenet,,electronics,"['microwave', 'microwave oven']",inclusion,Food & Drink|Cooking,text+video,2,Food & Drink|Cooking,0.761767847,2
1820,,H,imagenet,,electronics,"['microwave', 'microwave oven']",inclusion,Home & Garden|Home Appliances,text+video,2,Home & Garden|Home Appliances,0.777155777,2
1821,,H,imagenet,,electronics,"['microwave', 'microwave oven']",inclusion,Technology & Computing|Consumer Electronics,text+video,2,Technology & Computing|Consumer Electronics,0.722142863,2
1822,,H,imagenet,,clothing,['military uniform'],inclusion,Business and Finance|Industries|Apparel Industry,text+video,2,Business and Finance||Apparel Industry,0.761936409,2
1823,,N,imagenet,,clothing,['military uniform'],inclusion,Style & Fashion|Beauty|Makeup and Accessories,text+video,2,Style & Fashion||Makeup and Accessories,0.712290585,2
1824,,N,imagenet,,clothing,['military uniform'],inclusion,Style & Fashion|Women's Fashion|Women's Accessories|Women's Handbags and Wallets,text+video,2,Style & Fashion|||Women's Handbags and Wallets,0.733944582,2
1825,,N,imagenet,,clothing,['military uniform'],inclusion,Style & Fashion|Women's Fashion|Women's Accessories|Women's Jewelry and Watches,text+video,2,Style & Fashion|||Women's Jewelry and Watches,0.7588235959999999,2
1826,,H,imagenet,,clothing,['military uniform'],inclusion,Style & Fashion|Women's Fashion|Women's Clothing,text+video,2,Style & Fashion||Women's Clothing,0.822549803,2
1827,,H,imagenet,,clothing,['military uniform'],inclusion,Style & Fashion|Women's Fashion|Women's Shoes and Footwear,text+video,2,Style & Fashion||Women's Shoes and Footwear,0.77779752,2
1828,,H,imagenet,,clothing,['military uniform'],inclusion,Style & Fashion|Men's Fashion|Men's Clothing,text+video,2,Style & Fashion||Men's Clothing,0.8324852559999999,2
1829,,N,imagenet,,clothing,['military uniform'],inclusion,Style & Fashion|Men's Fashion|Men's Clothing|Men's Casual Wear,text+video,2,Style & Fashion|||Men's Casual Wear,0.806292769,2
1830,,N,imagenet,,clothing,['military uniform'],inclusion,Events and Attractions|Personal Celebrations & Life Events|Graduation,text+video,2,Events and Attractions||Graduation,0.5888854029999999,2
1831,,H,imagenet,,container,['milk can'],inclusion,Business and Finance|Industries|Food Industry,text+video,2,Business and Finance||Food Industry,0.730756243,2
1832,,L,imagenet,,container,['milk can'],inclusion,Food & Drink,text+video,2,Food & Drink,0.757510465,2
1833,,L,imagenet,,container,['milk can'],inclusion,Food & Drink|Desserts and Baking,text+video,2,Food & Drink|Desserts and Baking,0.7566122759999999,2
1834,,N,imagenet,,container,['milk can'],inclusion,Pets|Large Animals,text+video,2,Pets|Large Animals,0.7372267020000001,2
1835,,H,imagenet,,dog,['miniature pinscher'],inclusion,Pets,text+video,2,Pets,0.722806737,2
1836,,N,imagenet,,dog,['miniature pinscher'],inclusion,Pets|Cats,text+video,2,Pets|Cats,0.737793797,2
1837,,H,imagenet,,dog,['miniature pinscher'],inclusion,Pets|Dogs,text+video,2,Pets|Dogs,0.815551987,2
1838,,H,imagenet,,dog,['miniature poodle'],inclusion,Pets,text+video,2,Pets,0.757090667,2
1839,,N,imagenet,,dog,['miniature poodle'],inclusion,Pets|Cats,text+video,2,Pets|Cats,0.78397054,2
1840,,H,imagenet,,dog,['miniature poodle'],inclusion,Pets|Dogs,text+video,2,Pets|Dogs,0.8408349509999999,2
1841,,H,imagenet,,dog,['miniature poodle'],inclusion,Pets|Large Animals,text+video,2,Pets|Large Animals,0.72506731,2
1842,,H,imagenet,,dog,['miniature schnauzer'],inclusion,Pets,text+video,2,Pets,0.7490372209999999,2
1843,,N,imagenet,,dog,['miniature schnauzer'],inclusion,Pets|Cats,text+video,2,Pets|Cats,0.770267934,2
1844,,H,imagenet,,dog,['miniature schnauzer'],inclusion,Pets|Dogs,text+video,2,Pets|Dogs,0.831478243,2
1845,,N,imagenet,,vehicle,['minibus'],inclusion,Automotive|Auto Body Styles|Commercial Trucks,text+video,2,Automotive||Commercial Trucks,0.741427762,2
1846,,N,imagenet,,vehicle,['minibus'],inclusion,Automotive|Auto Body Styles|Sedan,text+video,2,Automotive||Sedan,0.720121972,2
1847,,N,imagenet,,vehicle,['minibus'],inclusion,Automotive|Auto Body Styles|Station Wagon,text+video,2,Automotive||Station Wagon,0.716498181,2
1848,,N,imagenet,,vehicle,['minibus'],inclusion,Automotive|Auto Body Styles|SUV,text+video,2,Automotive||SUV,0.730078233,2
1849,,N,imagenet,,vehicle,['minibus'],inclusion,Automotive|Auto Body Styles|Pickup Trucks,text+video,2,Automotive||Pickup Trucks,0.770801033,2
1850,,N,imagenet,,vehicle,['minibus'],inclusion,Automotive|Auto Type|Green Vehicles,text+video,2,Automotive||Green Vehicles,0.785063575,2
1851,,N,imagenet,,clothing,"['miniskirt', 'mini']",inclusion,Events and Attractions|Personal Celebrations & Life Events|Prom,text+video,2,Events and Attractions||Prom,0.710858077,2
1852,,N,imagenet,,clothing,"['miniskirt', 'mini']",inclusion,Style & Fashion|Beauty|Makeup and Accessories,text+video,2,Style & Fashion||Makeup and Accessories,0.751819762,2
1853,,N,imagenet,,clothing,"['miniskirt', 'mini']",inclusion,Style & Fashion|Women's Fashion|Women's Accessories|Women's Handbags and Wallets,text+video,2,Style & Fashion|||Women's Handbags and Wallets,0.722996885,2
1854,,H,imagenet,,clothing,"['miniskirt', 'mini']",inclusion,Style & Fashion|Women's Fashion|Women's Clothing,text+video,2,Style & Fashion||Women's Clothing,0.763431888,2
1855,,N,imagenet,,clothing,"['miniskirt', 'mini']",inclusion,Style & Fashion|Women's Fashion|Women's Clothing|Women's Formal Wear,text+video,2,Style & Fashion|||Women's Formal Wear,0.7363400809999999,2
1856,,N,imagenet,,clothing,"['miniskirt', 'mini']",inclusion,Style & Fashion|Women's Fashion|Women's Shoes and Footwear,text+video,2,Style & Fashion||Women's Shoes and Footwear,0.733357502,2
1857,,N,imagenet,,clothing,"['miniskirt', 'mini']",inclusion,Style & Fashion|Men's Fashion|Men's Clothing,text+video,2,Style & Fashion||Men's Clothing,0.75078568,2
1858,,N,imagenet,,clothing,"['miniskirt', 'mini']",inclusion,Style & Fashion|Men's Fashion|Men's Clothing|Men's Casual Wear,text+video,2,Style & Fashion|||Men's Casual Wear,0.744555031,2
1859,,N,imagenet,,clothing,"['miniskirt', 'mini']",inclusion,Style & Fashion|Men's Fashion|Men's Clothing|Men's Formal Wear,text+video,2,Style & Fashion|||Men's Formal Wear,0.72339734,2
1860,,N,imagenet,,vehicle,['minivan'],inclusion,Automotive|Auto Body Styles|Commercial Trucks,text+video,2,Automotive||Commercial Trucks,0.7632409809999999,2
1861,,N,imagenet,,vehicle,['minivan'],inclusion,Automotive|Auto Body Styles|Station Wagon,text+video,2,Automotive||Station Wagon,0.731563466,2
1862,,N,imagenet,,vehicle,['minivan'],inclusion,Automotive|Auto Body Styles|Pickup Trucks,text+video,2,Automotive||Pickup Trucks,0.796496293,2
1863,,N,imagenet,,vehicle,['minivan'],inclusion,Automotive|Auto Type|Luxury Cars,text+video,2,Automotive||Luxury Cars,0.794520245,2
1864,,H,imagenet,,vehicle,['minivan'],inclusion,Automotive|Auto Parts,text+video,2,Automotive|Auto Parts,0.724198355,2
1865,,H,imagenet,,vehicle,['minivan'],inclusion,Automotive|Auto Rentals,text+video,2,Automotive|Auto Rentals,0.730903592,2
1866,,N,imagenet,,vehicle,['minivan'],inclusion,Automotive|Auto Body Styles|Convertible,text+video,2,Automotive||Convertible,0.6857221640000001,2
1867,,N,imagenet,,ferret,['mink'],inclusion,Pets|Cats,text+video,2,Pets|Cats,0.748944308,2
1868,,H,imagenet,,clothing,['mitten'],inclusion,Style & Fashion|Women's Fashion|Women's Clothing,text+video,2,Style & Fashion||Women's Clothing,0.76859493,2
1869,,N,imagenet,,clothing,['mitten'],inclusion,Style & Fashion|Women's Fashion|Women's Shoes and Footwear,text+video,2,Style & Fashion||Women's Shoes and Footwear,0.722537165,2
1870,,H,imagenet,,clothing,['mitten'],inclusion,Style & Fashion|Men's Fashion|Men's Clothing,text+video,2,Style & Fashion||Men's Clothing,0.7642239590000001,2
1871,,L,imagenet,,clothing,['mitten'],inclusion,Style & Fashion|Men's Fashion|Men's Clothing|Men's Casual Wear,text+video,2,Style & Fashion|||Men's Casual Wear,0.713647707,2
1872,,L,imagenet,,cooking,['mixing bowl'],inclusion,Food & Drink,text+video,2,Food & Drink,0.737239722,2
1873,,H,imagenet,,cooking,['mixing bowl'],inclusion,Food & Drink|Cooking,text+video,2,Food & Drink|Cooking,0.8589658720000001,2
1874,,H,imagenet,,cooking,['mixing bowl'],inclusion,Food & Drink|Desserts and Baking,text+video,2,Food & Drink|Desserts and Baking,0.824374065,2
1875,,N,imagenet,,cooking,['mixing bowl'],inclusion,Food & Drink|Dining Out,text+video,2,Food & Drink|Dining Out,0.71131948,2
1876,,N,imagenet,,building,"['mobile home', 'manufactured home']",inclusion,Family and Relationships|Single Life,text+video,2,Family and Relationships|Single Life,0.754096401,"1,2"
1877,,N,imagenet,,building,"['mobile home', 'manufactured home']",inclusion,Automotive|Auto Body Styles|Commercial Trucks,text+video,2,Automotive||Commercial Trucks,0.743197896,2
1878,,N,imagenet,,building,"['mobile home', 'manufactured home']",inclusion,Automotive|Auto Type|Green Vehicles,text+video,2,Automotive||Green Vehicles,0.716905703,2
1879,,N,imagenet,,building,"['mobile home', 'manufactured home']",inclusion,Automotive|Auto Type|Luxury Cars,text+video,2,Automotive||Luxury Cars,0.733382725,2
1880,,N,imagenet,,building,"['mobile home', 'manufactured home']",inclusion,Automotive|Road-Side Assistance,text+video,2,Automotive|Road-Side Assistance,0.731720733,2
1881,,N,imagenet,,building,"['mobile home', 'manufactured home']",inclusion,Business and Finance,text+video,2,Business and Finance,0.7642435479999999,2
1882,,N,imagenet,,building,"['mobile home', 'manufactured home']",inclusion,Business and Finance|Industries|Education industry,text+video,2,Business and Finance||Education industry,0.7110162609999999,2
1883,,N,imagenet,,building,"['mobile home', 'manufactured home']",inclusion,Business and Finance|Industries|Entertainment Industry,text+video,2,Business and Finance||Entertainment Industry,0.727288013,2
1884,,N,imagenet,,building,"['mobile home', 'manufactured home']",inclusion,Business and Finance|Industries|Financial Industry,text+video,2,Business and Finance||Financial Industry,0.7138439190000001,2
1885,,N,imagenet,,building,"['mobile home', 'manufactured home']",inclusion,Business and Finance|Industries|Food Industry,text+video,2,Business and Finance||Food Industry,0.7285783720000001,2
1886,,H,imagenet,,building,"['mobile home', 'manufactured home']",inclusion,Business and Finance|Industries|Logistics and Transportation Industry,text+video,2,Business and Finance||Logistics and Transportation Industry,0.7202487609999999,2
1887,,N,imagenet,,building,"['mobile home', 'manufactured home']",inclusion,Business and Finance|Industries|Retail Industry,text+video,2,Business and Finance||Retail Industry,0.7366369909999999,2
1888,,N,imagenet,,building,"['mobile home', 'manufactured home']",inclusion,Business and Finance|Industries|Technology Industry,text+video,2,Business and Finance||Technology Industry,0.73329843,2
1889,,N,imagenet,,building,"['mobile home', 'manufactured home']",inclusion,Business and Finance|Industries|Automotive Industry,text+video,2,Business and Finance||Automotive Industry,0.7179373490000001,2
1890,,N,imagenet,,building,"['mobile home', 'manufactured home']",inclusion,Family and Relationships,text+video,2,Family and Relationships,0.721475338,2
1891,,N,imagenet,,building,"['mobile home', 'manufactured home']",inclusion,Family and Relationships|Parenting|Daycare and Pre-School,text+video,2,Family and Relationships||Daycare and Pre-School,0.7333340359999999,2
1892,,N,imagenet,,building,"['mobile home', 'manufactured home']",inclusion,Food & Drink|Dining Out,text+video,2,Food & Drink|Dining Out,0.738135029,2
1893,,N,imagenet,,building,"['mobile home', 'manufactured home']",inclusion,Healthy Living,text+video,2,Healthy Living,0.730343437,2
1894,,L,imagenet,,building,"['mobile home', 'manufactured home']",inclusion,Home & Garden,text+video,2,Home & Garden,0.809899908,2
1895,,H,imagenet,,building,"['mobile home', 'manufactured home']",inclusion,Home & Garden|Remodeling & Construction,text+video,2,Home & Garden|Remodeling & Construction,0.7582122020000001,2
1896,,L,imagenet,,building,"['mobile home', 'manufactured home']",inclusion,Home & Garden|Smart Home,text+video,2,Home & Garden|Smart Home,0.860885028,2
1897,,N,imagenet,,building,"['mobile home', 'manufactured home']",inclusion,Home & Garden|Home Appliances,text+video,2,Home & Garden|Home Appliances,0.8523925929999999,2
1898,,N,imagenet,,building,"['mobile home', 'manufactured home']",inclusion,Home & Garden|Home Entertaining,text+video,2,Home & Garden|Home Entertaining,0.810469592,2
1899,,H,imagenet,,building,"['mobile home', 'manufactured home']",inclusion,Home & Garden|Home Improvement,text+video,2,Home & Garden|Home Improvement,0.857331428,2
1900,,N,imagenet,,building,"['mobile home', 'manufactured home']",inclusion,Home & Garden|Home Security,text+video,2,Home & Garden|Home Security,0.848129562,2
1901,,H,imagenet,,building,"['mobile home', 'manufactured home']",inclusion,Real Estate,text+video,2,Real Estate,0.77668683,2
1902,,N,imagenet,,building,"['mobile home', 'manufactured home']",inclusion,Real Estate|Retail Property,text+video,2,Real Estate|Retail Property,0.772576213,2
1903,,H,imagenet,,building,"['mobile home', 'manufactured home']",inclusion,Real Estate|Houses,text+video,2,Real Estate|Houses,0.805088527,2
